Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age,0.0090809502,0.5814646768,0.0558289216,7,18,13
AnyHealthcare,0.0,0.0125398983,0.0,1,1,1
BMI,0.0046102162,0.5941354597,0.0695007092,6,19,14
CholCheck,0.0001051216,0.0390231193,0.0,1,3,1
DiffWalk,0.0164327549,0.1097351982,0.0286472781,11,8,9
Education,0.0016151353,0.1934339542,0.010941268,3,12,4
Fruits,0.0038690566,0.1411085536,0.0808161872,5,11,15
GenHlth,0.0283856571,0.9740858962,0.2050653405,14,21,18
HeartDiseaseorAttack,0.0345463281,0.0761152609,0.0248010621,15,6,8
HighBP,0.0249776693,0.645831173,0.2943009262,13,20,19
HighChol,0.0174625267,0.3779454998,0.1327284979,12,17,17
HvyAlcoholConsump,0.0,0.0468142184,0.0871954904,1,4,16
Income,0.0013443468,0.372711508,0.0184812787,2,16,6
MentHlth,0.0033140957,0.2066634199,0.0204347206,4,13,7
NoDocbcCost,0.0126705283,0.0358753237,0.0101909028,9,2,3
PhysActivity,0.0014641932,0.1117692388,0.0061904087,2,9,2
PhysHlth,0.0124337712,0.2998088244,0.0336619504,8,15,10
Sex,0.0050387643,0.2894092378,0.0505619544,6,14,11
Smoker,0.0,0.1234009071,0.0149518467,1,10,5
Stroke,0.0152281008,0.0631275612,0.0517864579,10,5,12
Veggies,0.0034291659,0.0967807172,0.0,4,7,1
