Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
acarbose,0.0,0.0,0.023969527,1,1,22
acetohexamide,0.0,0.0,0.0,1,1,1
admission_source_id,0.0,0.1551624753,0.0293681448,1,39,26
admission_type_id,0.0001294297,0.1481321959,0.0120968835,1,37,10
age,0.0003914048,0.217950177,0.0199024151,1,41,18
change,0.0,0.103184867,0.0123726752,1,31,10
chlorpropamide,0.0,0.0,0.037015955,1,1,30
citoglipton,0.0,0.0,0.0,1,1,1
diabetesMed,0.0002857713,0.0563631873,0.0053112213,1,21,4
diag_1_Circulatory,0.0,0.0616020977,0.005296813,1,23,4
diag_1_Diabetes,0.0,0.0485537743,0.0200629704,1,17,18
diag_1_Digestive,0.0,0.1125856506,0.0345909819,1,32,28
diag_1_Genitourinary,0.0,0.0692511986,0.0453433762,1,26,32
diag_1_Injury,0.0,0.0242908193,0.0096182628,1,9,8
diag_1_Musculoskeletal,0.0,0.0598249089,0.0411605558,1,22,31
diag_1_Neoplasms,0.0,0.0123563434,0.0187686085,1,5,17
diag_1_Other,0.0,0.0710987098,0.0230813782,1,27,21
diag_1_Respiratory,0.0,0.0542487615,0.0081956098,1,19,6
diag_2_Circulatory,0.0,0.1201708409,0.004804921,1,33,4
diag_2_Diabetes,0.0,0.0287344276,0.0047981119,1,10,4
diag_2_Digestive,0.0,0.0165320835,0.0099859873,1,7,8
diag_2_Genitourinary,0.0,0.044285425,0.0231031378,1,16,21
diag_2_Injury,0.0,0.0095963982,0.0142023072,1,4,12
diag_2_Musculoskeletal,0.0,0.0086024519,0.0215410551,1,3,20
diag_2_Neoplasms,0.0,0.0086591796,0.0116446227,1,3,10
diag_2_Other,0.0,0.0325262125,0.0034769712,1,12,2
diag_2_Respiratory,0.0,0.053491741,0.0189847639,1,18,17
diag_3_Circulatory,0.0,0.0428874604,0.0036815862,1,15,3
diag_3_Diabetes,0.0,0.0318264758,0.0036829345,1,11,3
diag_3_Digestive,0.0,0.0339941496,0.0319731414,1,13,27
diag_3_Genitourinary,0.0,0.0209855711,0.0096213911,1,8,8
diag_3_Injury,0.0,0.0168787242,0.0268343923,1,7,24
diag_3_Musculoskeletal,0.0,0.016377492,0.0574458864,1,6,34
diag_3_Neoplasms,0.0,0.0,0.010268196,1,1,8
diag_3_Other,0.0028988962,0.0816169656,0.0104872209,4,29,8
diag_3_Respiratory,0.0000257149,0.0550256595,0.0276983653,1,20,25
discharge_disposition_id,0.0005443182,0.3535799188,0.0460677506,2,43,33
examide,0.0,0.0,0.0,1,1,1
gender_Female,0.0,0.1536278837,0.0114236412,1,38,9
gender_Male,0.0,0.0,0.0029713647,1,1,2
glimepiride,0.0,0.0159368867,0.0079317028,1,6,6
glimepiride-pioglitazone,0.0,0.0,0.0,1,1,1
glipizide,0.0,0.137704289,0.0250263508,1,35,23
glipizide-metformin,0.0,0.0,0.0,1,1,1
glyburide,0.0,0.06561132,0.0162169343,1,24,14
glyburide-metformin,0.0,0.0,0.0198080519,1,1,18
insulin,0.0032657952,0.1538427363,0.009249712,4,38,7
metformin,0.0000687151,0.0682050662,0.0071484965,1,25,5
metformin-pioglitazone,0.0,0.0,0.0,1,1,1
metformin-rosiglitazone,0.0,0.0,0.0,1,1,1
miglitol,0.0,0.0,0.0,1,1,1
nateglinide,0.0,0.0,0.0168551495,1,1,15
num_lab_procedures,0.0001462118,0.4077455094,0.0105326059,1,45,9
num_medications,0.0003785858,0.3704157923,0.0148791104,1,44,13
num_procedures,0.0000427947,0.1410707248,0.0052703094,1,36,4
number_diagnoses,0.0001886193,0.1724306342,0.0208162666,1,40,19
number_emergency,0.0002424285,0.079336246,0.0220564419,1,28,20
number_inpatient,0.0008224624,0.4365777495,0.0624254519,2,46,35
number_outpatient,0.0,0.0985173553,0.0170723485,1,30,15
pioglitazone,0.0,0.0560374594,0.0145454493,1,21,13
race_AfricanAmerican,0.002448804,0.1357839349,0.0345427014,3,34,28
race_Asian,0.0,0.0,0.0179521436,1,1,16
race_Caucasian,0.0001736649,0.0353923455,0.0,1,14,1
race_Hispanic,0.0,0.0,0.0095231279,1,1,8
race_Other,0.0,0.0,0.0110043074,1,1,9
repaglinide,0.0,0.0069673539,0.0125116097,1,2,11
rosiglitazone,0.0,0.0239258834,0.0083719258,1,9,6
time_in_hospital,0.0001500792,0.2407863032,0.0159709027,1,42,14
tolazamide,0.0,0.0,0.0361897001,1,1,29
tolbutamide,0.0,0.0,0.0,1,1,1
troglitazone,0.0,0.0,0.0,1,1,1
