Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
0,0.0,0.0,0.0,1,1,1
1,0.0002679531,0.123789199,0.0,1,3,1
10,0.0014713179,0.3510804776,0.0293268599,2,11,5
11,0.0077041422,0.5690325984,0.0711064549,6,16,12
12,0.0023821678,0.4167951389,0.0501657,3,14,10
13,0.0239950252,0.2339659137,0.03607183,9,6,8
14,0.0232092459,0.4204379621,0.0867573701,8,15,14
15,0.0017606916,0.0995595423,0.0085875698,3,2,2
16,0.0025663056,0.4021614683,0.0227561051,4,13,4
17,0.0039806927,0.3539149264,0.0320779559,5,12,6
18,0.0,0.1302237025,0.0360267436,1,4,8
2,0.0237405944,2.0334164645,0.2656380776,9,19,16
3,0.0001844019,0.1420307959,0.0146706345,1,5,3
4,0.0002835688,0.240689593,0.0326276767,1,7,7
5,0.0004089053,0.2944658591,0.0533774456,1,9,11
6,0.0001228145,0.6515666723,0.1137323301,1,17,15
7,0.001228846,0.2822494113,0.0356414024,2,8,8
8,0.0119613306,0.7271806559,0.0845434269,7,18,13
9,0.0033509022,0.308009424,0.0382452886,4,10,9
