Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age_at_diagnosis,0.011075671,0.09774821,0.1102409356,4,17,15
ATRX,0.0019776127,0.0343418454,0.1017929548,3,15,14
BCOR,0.0006763732,0.0022787135,0.008173445,2,2,2
CIC,0.0,0.0245917049,0.1135832286,1,14,16
CSMD3,0.0,0.0010573466,0.0087995294,1,1,3
EGFR,0.0273078896,0.0174434384,0.0596131955,5,12,10
FAT4,0.0,0.002288919,0.0345386834,1,2,7
FUBP1,0.0,0.0066821088,0.0768764967,1,7,12
Gender,0.0,0.0159026339,0.0047836214,1,11,1
GRIN2A,0.0,0.0053231159,0.0484389543,1,5,9
IDH1,0.0001389486,0.2164322774,0.4833387486,1,18,21
IDH2,0.0,0.017889088,0.1874812806,1,13,20
MUC16,0.0,0.0073249442,0.0320363564,1,7,6
NF1,0.0,0.0131285388,0.0842879492,1,10,13
NOTCH1,0.0,0.0083883186,0.1290184889,1,8,17
PDGFRA,0.0,0.0015268665,0.0166870727,1,2,4
PIK3CA,0.001964191,0.0060501762,0.0165330846,3,6,4
PIK3R1,0.0,0.0033003968,0.0082417631,1,3,2
PTEN,0.0559813852,0.0436320558,0.14962954,6,16,19
Race,0.0006102572,0.0065667037,0.0295892989,2,7,5
RB1,0.0,0.0120488595,0.139689356,1,9,18
SMARCA4,0.0,0.0041659086,0.0696254178,1,4,11
TP53,0.0012183516,0.01600614,0.0446098363,2,11,8
