Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age,0.0001055736,0.014331915,0.0137141596,1,12,13
ALT 1,0.0000122012,0.0090865908,0.0049075019,1,7,4
ALT 12,0.000521484,0.0105568792,0.0109696235,2,9,10
ALT 24,0.0002466263,0.0124739297,0.0110951991,1,10,10
ALT 36,0.0002366169,0.0107666599,0.0121246879,1,9,11
ALT 48,0.0003582119,0.011599193,0.0120840423,1,10,11
ALT after 24 w,0.0001924447,0.0109529551,0.0127425312,1,9,12
ALT4,0.0000336428,0.0065343362,0.0031292868,1,5,2
AST 1,0.0001128794,0.0108948808,0.0096858994,1,9,9
BMI,0.0001249409,0.0144198573,0.0158787707,1,12,15
Diarrhea,0.0,0.0031957641,0.0039185328,1,2,3
Epigastric pain,0.0,0.0067788513,0.0114857202,1,5,10
Fatigue & generalized bone ache,0.0,0.0016926714,0.0020560052,1,1,1
Fever,0.0,0.0030105738,0.0021286165,1,2,1
Gender,0.0,0.0020370091,0.0015594196,1,1,1
Headache,0.0,0.0029286386,0.0016355212,1,2,1
HGB,0.0005846914,0.0078366748,0.0079905238,2,6,7
Jaundice,0.0,0.0020898102,0.0018198555,1,1,1
Nausea/Vomting,0.0,0.0045294252,0.0067510851,1,3,6
Plat,0.0004538284,0.0118666334,0.0114313396,1,10,10
RBC,0.0000459763,0.0066457737,0.0018911232,1,5,1
RNA 12,0.0010697815,0.0062782469,0.0057792481,2,4,5
RNA 4,0.0000212728,0.0120453733,0.0083031446,1,10,7
RNA Base,0.0004847627,0.0134932097,0.0153779282,1,11,14
RNA EF,0.0000671753,0.0102422668,0.0090674344,1,8,8
RNA EOT,0.0015603889,0.0082864564,0.0061510538,3,6,5
WBC,0.0004765621,0.0101534698,0.0099772955,1,8,9
